name,Super98,Super95,Diesel,PLZ,land,bundesland,bezirk,stadt,strasse,datum,zeit,coordinates_X,coordinates_Y
avanti - Sankt Florian/Inn Bundesstraße 129,0,1.713,0,4780,at,Oberösterreich,Schärding,Sankt Florian/Inn,Bundesstrasse 129,3.11.2022,10:9:26,13.44392,48.43865
avanti - Klagenfurt Görtschitztal Straße 22,0,1.673,1.993,9020,at,Kärnten,Klagenfurt Land,Klagenfurt,Goertschitztal Strasse 22,3.11.2022,10:8:44,14.37077,46.63785
Diskont Tankstelle,0,1.693,1.993,1110,at,Wien,Simmering,Wien,Simmeringer Hauptstraße 334 (Hofer Parkplatz),3.11.2022,10:9:55,16.462057,48.147895
GENOL-LH EFERDING-OÖ. MITTE eGen,0,0,1.999,4082,at,Oberösterreich,Eferding,ASCHACH AN DER DONAU,BAHNHOFSTRASSE 25,3.11.2022,10:9:16,14.009414,48.36248
Alberndorf Glanz,0,1.759,0,2054,at,Niederösterreich,Hollabrunn,Alberndorf,Hauptstraße 78,3.11.2022,10:8:59,16.1026869,48.7064986
Lagerhaus - Genol,0,1.759,0,3710,at,Niederösterreich,Hollabrunn,Ziersdorf,Hornerstrasse  43,3.11.2022,10:8:59,15.9208267,48.5293754
"TurboStopp, Freie Tankstelle",0,0,2.039,6281,at,Tirol,Schwaz,Gerlos,Gerlos 297,3.11.2022,10:9:48,12.0479962,47.2286462
Lagerhaus-Genol,0,1.719,0,7151,at,Burgenland,Neusiedl am See,Wallern,Bahnstraße 115,3.11.2022,10:8:41,16.9296436,47.7351682
Turmöl Quick,0,0,2.034,2263,at,Niederösterreich,Gänserndorf,Dürnkrut,Bernsteinstraße 48,3.11.2022,10:8:56,16.8486015,48.466849
Turmöl Quick,0,1.712,2.023,4600,at,Oberösterreich,Wels,Wels,Grieskirchnerstraße 4,3.11.2022,10:9:14,14.024823,48.169214
Turmöl Quick,0,0,2.021,8700,at,Steiermark,Leoben,Leoben,Zeltenschlagstraße 2,3.11.2022,10:9:36,15.0887587,47.3789195
BP - Lagerhaus,0,1.749,0,4161,at,Oberösterreich,Rohrbach,Ulrichsberg,Dreisesselbergstrasse 18,3.11.2022,10:9:24,13.9081676,48.6792247
Turmöl,0,1.698,1.999,9122,at,Kärnten,Völkermarkt,St.Kanzian,Klopeiner See Straße 1,3.11.2022,10:8:50,14.604615,46.6128356
eni/Zankl GmbH,0,1.799,2.079,9631,at,Kärnten,Hermagor,Jenig,Jenig 7,3.11.2022,10:8:45,13.2523853,46.6283556
AVIA ,0,1.749,1.999,5221,at,Oberösterreich,Braunau,Lochen,Gewerbestraße 6,3.11.2022,10:9:15,13.1833916,48.0089871
Genol - Lagerhaus,0,0,1.999,4174,at,Oberösterreich,Rohrbach,Niederwaldkirchen,Drautendorf 54,3.11.2022,10:9:24,14.052246,48.4412627
F. LEITNER,0,1.692,1.992,8041,at,Steiermark,Graz,Graz,Ziehrerstrasse 68,3.11.2022,10:9:33,15.452480159782615,47.039046605451354
Turmöl Quick,0,1.712,2.023,4600,at,Oberösterreich,Wels,Wels,Linzerstraße 92a,3.11.2022,10:9:14,14.043058,48.165209
Genol,0,1.769,0,3902,at,Niederösterreich,Waidhofen/Thaya,Vitis,Raiffeisenstraße 19,3.11.2022,10:9:9,15.1753462,48.7566554
Freie Tankstelle Nockenstein,0,1.768,0,5023,at,Salzburg,Salzburg Umgebung,Koppl,Wolfgangseestraße 35,3.11.2022,10:9:28,13.1112882,47.8203145
 LMEnergy Express,0,1.703,2.003,5600,at,Salzburg,St. Johann,St. Johann,Bundesstraße 2,3.11.2022,10:9:30,13.189367,47.3343734
Turmöl Quick,0,1.673,1.994,4813,at,Oberösterreich,Gmunden,Altmünster,Nachdemsee 12,3.11.2022,10:9:19,13.771423,47.884276
AVIA Xpress,0,1.739,0,4240,at,Oberösterreich,Freistadt,Freistadt,Linzerstraße 21,3.11.2022,10:9:18,14.503352,48.50627
AVIA Xpress (Automaten-Tankstelle),0,1.659,1.984,4850,at,Oberösterreich,Vöcklabruck,Timelkam,Salzburgerstr. 26,3.11.2022,10:9:27,13.60349,48.001815
Disk ,0,1.702,1.999,1140,at,Wien,Penzing,Wien,Ameisgasse 49-51,3.11.2022,10:9:57,16.2994762,48.1949066
Rumpold,0,1.729,2.021,8770,at,Steiermark,Leoben,St. Michael,Bundesstraße 50,3.11.2022,10:9:36,15.009137,47.350148
Shell Austria,0,1.729,1.987,1150,at,Wien,Rudolfsheim,WIEN,LINZER STR 2A,3.11.2022,10:9:58,16.32173,48.19039
